timestamp,spo2,pulse,raw_hex
2026-07-25 11:41:43.620,97,65,00 00 61 00 41 00
2026-07-25 11:41:44.656,97,65,00 00 61 00 41 00
2026-07-25 11:41:45.691,97,65,00 00 61 00 41 00
2026-07-25 11:41:46.726,97,65,00 00 61 00 41 00
2026-07-25 11:41:47.646,97,65,00 00 61 00 41 00
2026-07-25 11:41:48.680,97,66,00 00 61 00 42 00
2026-07-25 11:41:49.715,97,66,00 00 61 00 42 00
2026-07-25 11:41:50.635,97,66,00 00 61 00 42 00
2026-07-25 11:41:51.671,97,65,00 00 61 00 41 00
2026-07-25 11:41:52.821,97,64,00 00 61 00 40 00
2026-07-25 11:41:53.740,97,63,00 00 61 00 3f 00
2026-07-25 11:41:54.661,97,62,00 00 61 00 3e 00
2026-07-25 11:41:55.696,97,61,00 00 61 00 3d 00
2026-07-25 11:41:56.731,97,60,00 00 61 00 3c 00
2026-07-25 11:41:57.651,97,59,00 00 61 00 3b 00
2026-07-25 11:41:58.685,97,58,00 00 61 00 3a 00
2026-07-25 11:41:59.721,97,58,00 00 61 00 3a 00
2026-07-25 11:42:00.640,97,58,00 00 61 00 3a 00
2026-07-25 11:42:01.676,97,58,00 00 61 00 3a 00
2026-07-25 11:42:02.711,98,58,00 00 62 00 3a 00
2026-07-25 11:42:03.746,98,58,00 00 62 00 3a 00
2026-07-25 11:42:04.666,98,57,00 00 62 00 39 00
2026-07-25 11:42:05.816,98,57,00 00 62 00 39 00
2026-07-25 11:42:06.736,98,57,00 00 62 00 39 00
2026-07-25 11:42:07.656,98,57,00 00 62 00 39 00
2026-07-25 11:42:08.691,98,57,00 00 62 00 39 00
2026-07-25 11:42:09.727,98,57,00 00 62 00 39 00
2026-07-25 11:42:10.761,97,57,00 00 61 00 39 00
2026-07-25 11:42:11.681,97,57,00 00 61 00 39 00
2026-07-25 11:42:12.716,97,57,00 00 61 00 39 00
2026-07-25 11:42:13.751,97,57,00 00 61 00 39 00
2026-07-25 11:42:14.671,97,57,00 00 61 00 39 00
2026-07-25 11:42:15.708,97,57,00 00 61 00 39 00
2026-07-25 11:42:16.742,97,57,00 00 61 00 39 00
2026-07-25 11:42:17.662,97,57,00 00 61 00 39 00
2026-07-25 11:42:18.697,97,58,00 00 61 00 3a 00
2026-07-25 11:42:19.732,97,58,00 00 61 00 3a 00
2026-07-25 11:42:20.767,97,58,00 00 61 00 3a 00
2026-07-25 11:42:21.687,97,58,00 00 61 00 3a 00
2026-07-25 11:42:22.837,97,59,00 00 61 00 3b 00
2026-07-25 11:42:23.756,97,59,00 00 61 00 3b 00
2026-07-25 11:42:24.677,97,59,00 00 61 00 3b 00
2026-07-25 11:42:25.711,97,59,00 00 61 00 3b 00
2026-07-25 11:42:26.746,97,60,00 00 61 00 3c 00
2026-07-25 11:42:27.781,97,60,00 00 61 00 3c 00
2026-07-25 11:42:28.703,97,60,00 00 61 00 3c 00
2026-07-25 11:42:29.736,97,61,00 00 61 00 3d 00
2026-07-25 11:42:30.772,96,61,00 00 60 00 3d 00
2026-07-25 11:42:31.692,96,61,00 00 60 00 3d 00
2026-07-25 11:42:32.842,96,62,00 00 60 00 3e 00
2026-07-25 11:42:33.762,96,62,00 00 60 00 3e 00
2026-07-25 11:42:34.797,96,63,00 00 60 00 3f 00
2026-07-25 11:42:35.832,96,63,00 00 60 00 3f 00
2026-07-25 11:42:36.752,96,63,00 00 60 00 3f 00
2026-07-25 11:42:37.788,96,63,00 00 60 00 3f 00
